DATE,TT BUY,SOURCE URL
2020-02-27 09:00,71.22,https://github.com/sahilgupta/sbi-fx-ratekeeper/blob/4cea84491ec53b80a5171463e51e04f667bcb6e5/pdf_files/2020/2/2020-02-27.pdf
2020-02-28 12:05,71.7,https://github.com/sahilgupta/sbi-fx-ratekeeper/blob/4cea84491ec53b80a5171463e51e04f667bcb6e5/pdf_files/2020/2/2020-02-28.pdf
2020-03-03 12:30,72.45,https://github.com/sahilgupta/sbi-fx-ratekeeper/blob/4cea84491ec53b80a5171463e51e04f667bcb6e5/pdf_files/2020/3/2020-03-03.pdf
2020-03-04 10:30,72.9,https://github.com/sahilgupta/sbi-fx-ratekeeper/blob/4cea84491ec53b80a5171463e51e04f667bcb6e5/pdf_files/2020/3/2020-03-04.pdf
2020-03-05 09:30,72.95,https://github.com/sahilgupta/sbi-fx-ratekeeper/blob/4cea84491ec53b80a5171463e51e04f667bcb6e5/pdf_files/2020/3/2020-03-05.pdf
2020-03-06 09:30,73.5,https://github.com/sahilgupta/sbi-fx-ratekeeper/blob/4cea84491ec53b80a5171463e51e04f667bcb6e5/pdf_files/2020/3/2020-03-06.pdf
2020-03-12 09:30,73.78,https://github.com/sahilgupta/sbi-fx-ratekeeper/blob/4cea84491ec53b80a5171463e51e04f667bcb6e5/pdf_files/2020/3/2020-03-12.pdf
2020-03-13 10:30,73.7,https://github.com/sahilgupta/sbi-fx-ratekeeper/blob/4cea84491ec53b80a5171463e51e04f667bcb6e5/pdf_files/2020/3/2020-03-13.pdf
2020-03-16 15:20,73.7,https://github.com/sahilgupta/sbi-fx-ratekeeper/blob/4cea84491ec53b80a5171463e51e04f667bcb6e5/pdf_files/2020/3/2020-03-16.pdf
2020-03-17 09:32,73.76,https://github.com/sahilgupta/sbi-fx-ratekeeper/blob/4cea84491ec53b80a5171463e51e04f667bcb6e5/pdf_files/2020/3/2020-03-17.pdf
2020-03-18 13:00,73.85,https://github.com/sahilgupta/sbi-fx-ratekeeper/blob/4cea84491ec53b80a5171463e51e04f667bcb6e5/pdf_files/2020/3/2020-03-18.pdf
2020-03-19 00:00,74.6,https://github.com/sahilgupta/sbi-fx-ratekeeper/blob/4cea84491ec53b80a5171463e51e04f667bcb6e5/pdf_files/2020/3/2020-03-19.pdf
2020-03-20 09:44,74.42,https://github.com/sahilgupta/sbi-fx-ratekeeper/blob/4cea84491ec53b80a5171463e51e04f667bcb6e5/pdf_files/2020/3/2020-03-20.pdf
2020-03-23 09:44,75.65,https://github.com/sahilgupta/sbi-fx-ratekeeper/blob/4cea84491ec53b80a5171463e51e04f667bcb6e5/pdf_files/2020/3/2020-03-23.pdf
2020-03-24 09:44,75.6,https://github.com/sahilgupta/sbi-fx-ratekeeper/blob/4cea84491ec53b80a5171463e51e04f667bcb6e5/pdf_files/2020/3/2020-03-24.pdf
2020-03-26 10:13,75.05,https://github.com/sahilgupta/sbi-fx-ratekeeper/blob/4cea84491ec53b80a5171463e51e04f667bcb6e5/pdf_files/2020/3/2020-03-26.pdf
2020-03-27 10:13,74,https://github.com/sahilgupta/sbi-fx-ratekeeper/blob/4cea84491ec53b80a5171463e51e04f667bcb6e5/pdf_files/2020/3/2020-03-27.pdf
2020-03-30 10:13,75.05,https://github.com/sahilgupta/sbi-fx-ratekeeper/blob/4cea84491ec53b80a5171463e51e04f667bcb6e5/pdf_files/2020/3/2020-03-30.pdf
2020-03-31 10:13,75.05,https://github.com/sahilgupta/sbi-fx-ratekeeper/blob/4cea84491ec53b80a5171463e51e04f667bcb6e5/pdf_files/2020/3/2020-03-31.pdf
2020-04-13 10:20,75.9,https://github.com/sahilgupta/sbi-fx-ratekeeper/blob/4cea84491ec53b80a5171463e51e04f667bcb6e5/pdf_files/2020/4/2020-04-13.pdf
2020-04-20 10:25,76,https://github.com/sahilgupta/sbi-fx-ratekeeper/blob/4cea84491ec53b80a5171463e51e04f667bcb6e5/pdf_files/2020/4/2020-04-20.pdf
